1942	04	26	LB	SY	1	2	F		-10	1274	1410	−3	−	84	62
1944	03	10	SY	IQ	1	2	F		-6	1404	1676	0	0	65	25
1947	05	04	LB	SY	1	4	F		-17	1285	1421	−4	+3	87	64
1947	05	18	SY	LB	1	0	F		4	1425	1281	+1	0	63	87
1949	11	20	TR	SY	7	0	WQ		24	1522	1401	+4	−3	54	70
1949	11	25	GR	SY	8	0	F		24	1316	1377	+6	−7	85	77
1949	11	27	GR	SY	2	0	F		13	1329	1364	+2	−1	83	78
1951	10	14	GR	SY	4	0	MDG	EG	40	1380	1324	+4	−7	80	87
1951	10	16	EG	SY	8	0	MDG		11	1595	1313	0	0	42	87
1953	08	01	SY	JO	3	1	PAR	EG	21	1334	1179	+4	−	84	111
1953	08	06	LB	SY	0	0	PAR	EG	5	1241	1329	+2	−1	106	86
1953	08	10	EG	SY	4	0	PAR		9	1583	1320	+2	−3	42	89
1955	07	25	EG	SY	3	0	MDG	ES	16	1554	1304	+3	−4	53	99
1957	00	00	SY	JO	6	1	F		10	1314	1207	+3	+1	99	121
1957	03	08	SD	SY	1	0	WQ		3	1642	1311	+1	0	39	100
1957	05	24	SY	SD	1	1	WQ		12	1323	1630	0	−2	101	40
1957	10	20	SY	JO	6	1	PAR	LB	27	1350	1180	+4	−4	97	125
1957	10	22	LB	SY	1	1	PAR		-2	1280	1352	−1	0	110	97
1957	10	24	SA	SY	3	1	PAR	LB	29	1397	1323	+5	−4	89	101
1957	10	26	MA	SY	1	1	PAR	LB	-17	1726	1340	−1	+2	22	99
1957	10	27	SY	TN	3	1	PAR	LB	53	1393	1626	+8	−10	91	41
1958	02	17	MA	SY	3	1	F		2	1728	1391	0	−1	23	92
1959	00	00	MA	SY	1	0	F		2	1720	1389	0	−1	27	94
1963	03	31	SY	JO	4	0	ARC	LB	18	1407	1167	+3	−1	91	135
1963	04	02	TN	SY	1	0	ARC	LB	16	1486	1391	+4	−4	74	95
1963	04	04	LB	SY	2	3	ARC		-25	1359	1416	−5	+7	103	88
1963	04	07	SY	KW	4	0	ARC	LB	18	1434	1197	+5	−2	83	131
1963	09	21	MA	SY	1	0	MDG	IT	9	1659	1425	+1	−5	36	88
1963	09	27	TN	SY	3	1	MDG	IT	18	1593	1407	+2	−3	51	91
1965	09	04	LY	SY	6	3	PAR	EG	28	1509	1379	+7	−5	69	97
1965	09	06	SY	OM	13	0	PAR	EG	7	1386	887	+2	−1	95	161
1965	09	07	SD	SY	2	0	PAR	EG	11	1664	1375	+2	−4	36	99
1966	04	02	SY	NY	7	0	ARC	IQ	5	1380	895	+2	−	97	162
1966	04	04	LY	SY	0	0	ARC	IQ	-6	1480	1386	−3	0	75	97
1966	04	06	SY	PS	4	1	ARC	IQ	23	1409	1244	+3	−3	94	127
1966	04	09	SY	LB	1	0	ARC	IQ	21	1430	1409	+8	−8	86	94
1966	04	10	IQ	SY	2	1	ARC		6	1629	1424	+1	−3	40	89
1966	07	23	CN	SY	6	0	F		8	1582	1416	+3	−3	49	93
1970	00	00	SY	RU	1	2	F		-2	1414	1939	−1	−1	91	6
1971	05	28	SY	KP	0	0	OQ		13	1427	1761	+5	−1	87	21
1971	06	01	KP	SY	1	0	OQ		3	1764	1424	+1	0	20	86
1971	07	09	LY	SY	2	1	EDT		10	1467	1414	+3	−2	72	88
1971	07	11	EG	SY	1	0	EDT	LY	4	1735	1410	+1	−1	26	89
1971	10	12	TN	SY	1	0	MDG	TR	10	1616	1400	+6	0	44	91
1971	12	11	JO	SY	0	0	SQ	KW	13	1136	1387	+1	−1	146	93
1971	12	17	KW	SY	2	2	SQ		-4	1349	1391	−1	+1	105	92
1971	12	19	LB	SY	3	2	SQ	KW	23	1360	1368	+7	−6	101	98
1972	01	01	SY	DY	1	0	PAL	IQ	13	1381	1236	+3	−2	96	129
1972	01	04	SY	PS	3	1	PAL	IQ	15	1396	1171	+4	−1	92	140
1972	01	06	SY	QA	3	2	PAL	IQ	6	1402	1073	+1	0	91	154
1972	01	08	SY	DZ	1	0	PAL	IQ	30	1432	1552	+10	−2	81	59
1972	01	12	EG	SY	4	2	PAL	IQ	11	1697	1421	+2	−5	34	86
1972	01	13	DZ	SY	3	1	PAL	IQ	20	1566	1401	+4	−5	57	91
1973	05	04	SY	KW	2	1	WQ	IR	19	1420	1372	+8	−1	84	97
1973	05	06	KP	SY	1	1	WQ	IR	-14	1695	1434	−2	+5	32	79
1973	05	08	IR	SY	1	0	WQ		8	1595	1426	+1	−3	50	82
1973	05	11	SY	KW	2	0	WQ	IR	26	1452	1355	+11	−6	71	104
1973	05	13	KP	SY	3	0	WQ	IR	16	1677	1436	+4	−7	36	79
1973	05	15	IR	SY	0	1	WQ		-34	1587	1470	−8	+11	51	68
1973	08	11	PS	SY	1	1	PAL	LY	14	1199	1456	+4	−4	135	72
1973	08	13	TN	SY	4	1	PAL	LY	21	1630	1435	+2	−10	43	82
1973	08	16	SY	DY	7	1	PAL	LY	18	1453	1188	+7	−5	75	138
1973	08	20	SY	EG	2	0	PAL	LY	47	1500	1636	+10	−8	65	41
1973	08	23	DZ	SY	0	0	PAL	LY	-4	1565	1504	−3	0	57	65
1973	08	26	TN	SY	4	0	PAL	LY	19	1707	1485	+1	−2	31	67
1974	00	00	SY	JO	2	0	F		2	1487	1138	+1	0	66	144
1974	09	26	SY	PS	2	0	KUN		5	1492	1207	0	−2	69	133
1974	09	28	SY	LY	2	1	KUN		7	1499	1388	0	−1	69	96
1974	10	02	SY	SD	2	0	KUN		18	1517	1504	+6	−7	63	69
1974	10	04	SY	NY	6	0	KUN		1	1518	855	0	0	63	175
1974	10	07	SY	TN	3	1	KUN		27	1545	1660	+6	−4	57	36
1974	10	09	SY	MA	1	1	KUN		3	1548	1720	+2	0	55	28
1975	12	21	SY	LY	3	2	PAL	TN	10	1558	1349	0	−1	55	106
1975	12	23	LY	SY	1	0	PAL	TN	31	1380	1527	+6	−4	100	59
1975	12	25	IQ	SY	4	0	PAL	TN	34	1594	1493	+8	−8	47	67
1975	12	28	SD	SY	1	0	PAL	TN	18	1550	1475	+2	−5	56	73
1976	10	07	SY	JO	1	0	PAR		3	1478	1132	0	−1	72	146
1976	10	10	SY	DY	1	2	PAR		-36	1442	1254	−11	+7	83	124
1976	10	14	SY	MR	2	0	PAR		2	1444	931	0	0	83	167
1976	10	16	SY	PS	2	0	PAR		8	1452	1209	+2	−1	81	132
1976	10	18	SY	MA	0	0	PAR		9	1461	1708	+2	0	79	29
1976	10	21	SY	SA	0	2	PAR		-49	1412	1348	−14	+9	93	105
1976	11	12	SA	SY	2	0	WQ		27	1375	1385	+7	−3	98	95
1976	11	26	SY	SA	2	1	WQ		14	1399	1361	+3	−4	92	102
1977	01	28	SY	IR	0	1	WQ		-9	1390	1728	0	0	92	28
1977	03	23	SY	MA	0	2	F		-7	1383	1711	0	+2	96	29
1977	04	08	SY	JO	0	1	F		-17	1366	1198	−3	+1	99	136
1978	02	26	SY	DZ	0	1	F		-9	1357	1517	−2	+1	99	64
1978	07	13	ID	SY	1	0	MRD	MY	15	1364	1342	+7	−5	97	105
1978	07	15	IQ	SY	2	1	MRD	MY	6	1594	1336	0	0	51	105
1978	07	17	JP	SY	3	2	MRD	MY	10	1456	1326	+5	−2	75	108
1978	07	20	TH	SY	3	1	MRD	MY	25	1319	1301	+8	−7	108	115
1978	07	23	MY	SY	5	2	MRD		10	1473	1291	+3	−1	72	116
1978	07	25	SG	SY	4	1	MRD	MY	36	1195	1255	+1	−4	137	120
1978	07	27	KR	SY	2	0	MRD	MY	2	1776	1253	+1	0	22	120
1978	12	19	SY	TN	2	1	F		18	1271	1716	+3	−2	119	29
1979	11	18	BH	SY	1	1	SQ	AE	5	1185	1266	0	−1	138	119
1979	11	20	AE	SY	0	0	SQ		8	1027	1258	0	−1	161	120
1979	11	22	SY	LB	1	0	SQ	AE	26	1284	1331	+4	−6	116	105
1980	02	15	SY	JO	1	2	F		-15	1269	1194	−2	+3	118	135
1980	03	17	KW	SY	1	0	OQ	IQ	5	1624	1264	+1	−1	45	120
1980	03	20	IQ	SY	1	0	OQ		2	1714	1262	0	−1	29	121
1980	03	23	SY	JO	2	0	OQ	IQ	23	1285	1152	+7	−3	114	142
1980	03	25	SY	DY	2	1	OQ	IQ	18	1303	1234	+3	−1	111	124
1980	07	20	DZ	SY	3	0	OG	SU	12	1674	1291	+5	−2	34	114
1980	09	17	IR	SY	0	0	AC	KW	-22	1730	1313	−2	+7	27	107
1980	09	19	SY	BD	1	0	AC	KW	6	1319	970	+1	0	106	165
1980	09	23	SY	CN	1	0	AC	KW	42	1361	1559	+7	−5	99	55
1980	09	26	KP	SY	2	1	AC	KW	8	1647	1353	+2	−2	41	101
1981	02	15	MA	SY	3	0	F		3	1647	1350	0	0	41	100
1981	03	19	BH	SY	1	0	WQ	SA	29	1212	1321	+5	−5	135	106
1981	03	24	SA	SY	2	0	WQ		14	1439	1307	+4	−5	83	111
1981	03	27	QA	SY	2	1	WQ	SA	25	1241	1282	+10	−4	125	115
1981	03	30	IQ	SY	2	1	WQ	SA	3	1699	1279	0	−1	31	116
1982	04	15	SY	CY	0	1	F		-13	1266	1268	−5	+2	120	119
1982	11	20	KP	SY	1	1	ASG	IN	-14	1564	1280	−2	+7	56	115
1982	11	22	SA	SY	1	1	ASG	IN	-7	1406	1287	−1	0	88	115
1982	11	24	TH	SY	3	1	ASG	IN	28	1333	1259	+7	−9	101	124
1983	02	12	SY	JP	2	2	F		5	1264	1538	+1	−2	122	62
1983	06	07	JP	SY	1	0	KRN		3	1525	1261	+1	0	64	121
1983	08	12	SY	JO	3	2	OQ		8	1269	1122	+2	−1	120	148
1983	08	26	JO	SY	0	1	OQ		-17	1105	1286	−3	+3	151	117
1983	09	11	EG	SY	1	0	MDG	MA	4	1649	1282	0	−2	39	119
1983	10	14	SY	KW	1	3	OQ		-9	1273	1685	0	+1	120	34
1983	10	21	SY	QA	1	1	OQ		-4	1269	1299	−1	+1	121	114
1983	11	04	KW	SY	1	3	OQ		-57	1618	1326	−6	+19	42	103
1983	11	11	QA	SY	1	0	OQ		15	1328	1311	+6	−5	102	108
1984	08	07	SY	PH	2	0	SQ	ID	5	1316	885	0	−2	110	176
1984	08	09	IR	SY	3	1	SQ	ID	6	1714	1310	+2	0	31	110
1984	08	11	SY	BD	2	1	SQ	ID	5	1315	972	0	0	110	165
1984	08	13	TH	SY	3	2	SQ	ID	16	1406	1299	+1	−4	89	114
1984	08	15	ID	SY	1	2	SQ		-17	1128	1316	−3	+4	147	110
1984	08	18	IR	SY	1	0	SQ	ID	3	1731	1313	+1	0	30	110
1984	11	20	SY	DY	2	0	F		7	1320	1207	+1	−5	107	139
1984	11	25	AE	SY	2	1	F		8	1290	1312	+2	−1	116	108
1984	12	01	QA	SY	1	1	AC	SG	-13	1501	1325	−2	+3	67	105
1984	12	04	SA	SY	1	0	AC	SG	11	1557	1314	+1	−4	57	111
1984	12	07	SY	KR	1	0	AC	SG	42	1356	1565	+16	−11	95	55
1984	12	09	KW	SY	3	1	AC	SG	19	1566	1337	+3	−6	55	101
1985	03	15	SA	SY	0	0	F		-8	1623	1345	−1	+1	44	97
1985	03	17	SA	SY	3	0	F		4	1627	1341	0	0	44	97
1985	03	22	SY	KW	1	0	WQ		25	1366	1508	+3	−5	94	67
1985	03	29	NY	SY	0	1	WQ		-3	828	1369	0	0	181	94
1985	04	02	SY	AE	2	1	F	BH	8	1377	1301	+2	−2	93	110
1985	04	07	AE	SY	4	0	F	BH	23	1318	1354	+3	−3	107	96
1985	04	12	KW	SY	0	0	WQ		-12	1494	1366	−2	+1	70	95
1985	04	19	SY	NY	3	0	WQ		2	1368	825	0	0	94	181
1985	07	12	SY	KP	2	2	F		2	1370	1534	+1	0	94	62
1985	08	07	LY	SY	2	0	PAR	MA	13	1603	1357	+3	−3	48	98
1985	08	12	IQ	SY	2	0	PAR	MA	8	1684	1349	+1	−1	35	97
1985	09	06	BH	SY	1	1	WQ		-7	1372	1356	−3	0	93	96
1985	09	20	SY	BH	1	0	WQ		15	1371	1357	+2	−3	95	97
1985	10	10	SY	JO	2	0	F		4	1375	1141	+1	−1	94	148
1985	11	15	SY	IQ	0	0	WQ		10	1385	1660	+3	−2	91	39
1985	11	22	QA	SY	0	0	F		-6	1521	1391	−3	+2	67	89
1985	11	29	IQ	SY	3	1	WQ	SA	11	1671	1380	+2	−4	37	93
1986	07	25	JP	SY	2	1	MRD	MY	10	1501	1370	0	−1	73	94
1987	01	26	NG	SY	1	0	NGC	IN	9	1586	1361	0	−2	54	95
1987	02	27	SY	JO	1	1	F		-7	1354	1157	0	0	94	146
1987	03	19	AE	SY	1	1	F		-5	1447	1359	−2	0	81	95
1987	03	23	AE	SY	2	1	F		5	1452	1354	+2	0	79	95
1987	03	24	BH	SY	0	2	F		-18	1304	1372	−1	+2	106	93
1987	03	26	BH	SY	0	0	F		-1	1303	1373	0	0	106	93
1987	04	17	QA	SY	2	0	OQ		16	1470	1357	+4	−4	77	97
1987	04	24	QA	SY	0	1	OQ		-31	1439	1388	−4	+4	82	92
1987	09	18	SY	SM	3	0	MDG		4	1392	1009	+1	0	91	165
1987	09	20	SY	LB	6	1	MDG		16	1408	1231	+4	−4	87	128
1988	03	25	JO	SY	0	0	F		3	1197	1405	0	−1	139	89
1988	04	11	SY	LB	2	1	ARQ		7	1412	1224	+3	−1	86	131
1988	04	15	SY	PS	3	0	ARQ		12	1424	1220	+2	−4	84	133
1988	05	26	SY	KP	2	1	SQ	NP	28	1452	1544	+5	−6	80	61
1988	05	29	IR	SY	1	1	SQ	NP	-11	1664	1463	0	+1	38	79
1988	06	01	NP	SY	0	3	SQ		-5	923	1468	0	+3	175	76
1988	06	03	SY	HK	2	0	SQ	NP	18	1486	1301	+3	−3	73	106
1988	06	19	SY	JO	1	0	F		2	1488	1241	+1	−2	72	126
1988	06	24	SY	NY	2	1	F		0	1488	929	0	0	72	174
1988	07	02	SY	TN	2	0	F		10	1498	1456	+1	−1	71	79
1988	07	04	SY	TN	0	0	F		-4	1494	1460	0	0	71	79
1988	07	08	DZ	SY	1	1	ARC	JO	-8	1630	1502	0	+1	43	71
1988	07	12	SY	BH	2	1	ARC	JO	14	1516	1379	+3	−3	68	94
1988	07	14	SY	KW	1	0	ARC	JO	21	1537	1508	+4	−6	64	70
1988	07	16	JO	SY	2	0	ARC		43	1323	1494	+11	−7	104	71
1988	07	19	EG	SY	0	0	ARC	JO	-9	1663	1503	0	+1	38	70
1988	07	21	IQ	SY	1	1	ARC	JO	-10	1682	1513	0	+2	36	68
1988	11	21	SY	SU	0	2	F		-3	1510	1992	0	0	64	3
1988	11	25	SY	JO	3	2	F		3	1513	1290	0	−1	64	108
1988	12	02	SA	SY	2	0	AC	QA	43	1508	1470	+13	−12	64	76
1988	12	04	CN	SY	3	0	AC	QA	27	1636	1443	+3	−5	44	81
1988	12	08	SY	KW	1	0	AC	QA	29	1472	1465	+6	−9	74	76
1988	12	11	SY	BH	1	0	AC	QA	19	1491	1373	+8	−3	67	98
1989	03	10	NY	SY	0	1	WQ		-3	926	1494	−1	0	175	68
1989	03	15	SA	SY	5	4	WQ		10	1586	1484	+4	−1	48	69
1989	03	25	SY	NY	2	0	WQ		1	1485	923	0	0	69	175
1989	03	30	SY	SA	0	0	WQ		0	1485	1588	0	0	70	50
1992	00	00	SY	JO	1	0	F		3	1488	1305	0	0	74	120
1992	05	14	KW	SY	0	0	F		-3	1475	1491	0	+1	79	76
1992	05	17	AE	SY	2	0	F		13	1439	1478	+3	−2	85	78
1992	05	20	AE	SY	0	0	F		-2	1437	1480	0	0	85	78
1992	05	29	QA	SY	4	2	SQ		23	1482	1457	+4	−3	78	82
1992	06	02	SY	OM	1	0	SQ	QA	4	1461	1089	0	−1	84	171
1992	09	04	SY	PS	0	0	PGC		-15	1446	1235	−5	+7	89	143
1992	09	11	SY	SA	1	1	PGC		3	1449	1590	0	−1	88	57
1992	09	15	SY	EG	0	0	PGC		5	1454	1626	+2	−2	87	49
1992	09	17	SY	KW	1	2	PGC		-25	1429	1498	−8	+7	95	73
1993	03	02	JO	SY	1	1	F		-2	1383	1431	0	+1	108	92
